img_name,objs/0/category_id,objs/0/obj,objs/0/bbox/0,objs/0/bbox/1,objs/0/bbox/2,objs/0/bbox/3,objs/0/bbox/4,objs/0/bbox/5,objs/0/bbox/6,objs/0/bbox/7,objs/0/isDifficult,objs/1/category_id,objs/1/obj,objs/1/bbox/0,objs/1/bbox/1,objs/1/bbox/2,objs/1/bbox/3,objs/1/bbox/4,objs/1/bbox/5,objs/1/bbox/6,objs/1/bbox/7,objs/1/isDifficult,objs/2/category_id,objs/2/obj,objs/2/bbox/0,objs/2/bbox/1,objs/2/bbox/2,objs/2/bbox/3,objs/2/bbox/4,objs/2/bbox/5,objs/2/bbox/6,objs/2/bbox/7,objs/2/isDifficult,objs/3/category_id,objs/3/obj,objs/3/bbox/0,objs/3/bbox/1,objs/3/bbox/2,objs/3/bbox/3,objs/3/bbox/4,objs/3/bbox/5,objs/3/bbox/6,objs/3/bbox/7,objs/3/isDifficult,objs/4/category_id,objs/4/obj,objs/4/bbox/0,objs/4/bbox/1,objs/4/bbox/2,objs/4/bbox/3,objs/4/bbox/4,objs/4/bbox/5,objs/4/bbox/6,objs/4/bbox/7,objs/4/isDifficult,objs/5/category_id,objs/5/obj,objs/5/bbox/0,objs/5/bbox/1,objs/5/bbox/2,objs/5/bbox/3,objs/5/bbox/4,objs/5/bbox/5,objs/5/bbox/6,objs/5/bbox/7,objs/5/isDifficult,objs/6/category_id,objs/6/obj,objs/6/bbox/0,objs/6/bbox/1,objs/6/bbox/2,objs/6/bbox/3,objs/6/bbox/4,objs/6/bbox/5,objs/6/bbox/6,objs/6/bbox/7,objs/6/isDifficult,width,height,objs/7/category_id,objs/7/obj,objs/7/bbox/0,objs/7/bbox/1,objs/7/bbox/2,objs/7/bbox/3,objs/7/bbox/4,objs/7/bbox/5,objs/7/bbox/6,objs/7/bbox/7,objs/7/isDifficult,objs/7/bbox/8,objs/7/bbox/9,objs/3/bbox/8,objs/3/bbox/9,objs/5/bbox/8,objs/5/bbox/9,objs/1/bbox/8,objs/1/bbox/9,objs/6/bbox/8,objs/6/bbox/9
Carton_box_img_372.jpg,1,inside_box,268.906,220.693,432.906,218.694,390.906,444.693,221.573,430.693,0,2,outside_box,267.907,173.027,545.907,178.027,481.907,557.027,196.574,520.36,0,1,inside_box,650.323,78.36,1131.657,38.36,1143.657,377.027,619.657,359.693,0,2,outside_box,610.323,62.36,1262.323,19.693,1271.657,577.027,555.657,499.693,0,1,inside_box,145.56,631.464,317.56,670.464,311.56,719.464,126.56,719.464,0,2,outside_box,118.56,558.464,390.56,610.464,377.56,720,84.56,720,0,2,outside_box,581.56,593.464,966.56,575.464,1018.56,720,568.56,720,0,1000,1333,,,,,,,,,,,,,,,,,,,,,
Carton_box_img_404.jpg,1,inside_box,299.367,166.5,483.367,149.5,509.867,266.5,320.367,284,0,2,outside_box,219.867,106,514.867,87.5,562.867,317.5,258.867,352,0,1,inside_box,684.617,134.25,820.617,143.583,835.95,273.583,694.617,270.917,0,2,outside_box,609.284,74.917,871.95,88.249,907.283,340.25,623.95,334.916,0,1,inside_box,698.424,412.126,777.091,402.792,794.424,501.459,713.091,514.792,0,2,outside_box,647.758,370.126,809.758,355.459,843.091,538.792,673.091,570.792,0,1,inside_box,272.424,420.126,551.091,457.459,535.091,624.126,239.091,588.126,0,1000,1333,2,outside_box,200.424,330.793,639.091,393.459,608.424,720,127.091,670.792,0,,,,,,,,,,
Carton_box_img_436.jpg,1,inside_box,321.227,220.72,460.56,290.72,382.56,429.387,242.56,356.72,0,2,outside_box,284.56,140.053,551.227,283.387,407.893,533.387,137.893,392.72,0,1,inside_box,599.893,69.72,739.227,171.053,671.227,275.72,526.56,172.387,0,2,outside_box,608.227,0,822.393,155.553,685.226,361.72,443.893,191.054,0,1,inside_box,564.303,427.19,657.636,395.19,686.97,474.523,591.636,505.857,0,2,outside_box,500.969,397.19,681.636,343.19,747.637,501.856,561.636,566.523,0,,,,,,,,,,,,1000,1333,,,,,,,,,,,,,,,,,,,,,
Carton_box_img_468.jpg,1,inside_box,620.56,81.36,802.56,89.36,796.56,222.36,607.56,214.36,0,2,outside_box,578.56,14.36,874.56,26.36,854.56,295.36,556.56,274.36,0,1,inside_box,455.227,357.027,609.893,347.693,615.227,511.027,455.893,516.36,0,2,outside_box,384.56,313.693,683.56,293.36,696.56,596.359,389.893,601.693,0,1,inside_box,849.56,336.36,926.226,395.694,850.227,477.027,774.227,419.027,0,2,outside_box,842.227,272.359,997.56,388.36,859.56,551.027,704.894,423.027,0,,,,,,,,,,,,1000,1333,,,,,,,,,,,,,,,,,,,,,
Carton_box_img_500.jpg,1,inside_box,37.255,687.993,199.921,655.993,232.588,875.326,71.921,918.66,0,2,outside_box,0,608.993,266.487,561.984,315.487,911.984,0,1003.317,0,1,inside_box,376.487,470.318,464.487,530.318,432.487,616.318,337.82,560.318,0,2,outside_box,350.653,394.651,525.153,512.151,453.987,688.818,270.487,581.818,0,1,inside_box,425.207,803.856,566.541,747.189,605.874,905.189,471.207,975.856,0,2,outside_box,321.874,750.189,596.874,649.522,683.208,937.856,413.408,1087.647,0,,,,,,,,,,,,1000,1333,,,,,,,,,,,,,,,,,,,,,
Carton_box_img_532.jpg,1,inside_box,439.04,451.52,674.56,443.84,689.92,653.76,441.6,666.56,0,2,outside_box,335.68,362.827,762.346,345.493,802.347,720,331.68,720,0,1,inside_box,768.692,154.353,950.692,145.353,964.692,324.353,780.692,330.353,0,2,outside_box,700.692,80.353,1010.692,67.353,1043.692,409.353,712.692,419.353,0,1,inside_box,991.474,493.019,1106.14,485.019,1127.473,639.686,1010.14,644.353,0,2,outside_box,935.473,439.686,1158.14,426.352,1209.473,702.352,970.807,707.019,0,,,,,,,,,,,,1000,1333,,,,,,,,,,,,,,,,,,,,,
Carton_box_img_564.jpg,1,inside_box,521.16,304.493,733.827,304.493,734.493,495.16,515.827,490.493,0,2,outside_box,429.827,211.16,817.827,211.827,840.75,605.066,412.084,580.399,0,1,inside_box,937.75,308.732,1126.417,311.399,1133.75,502.732,937.084,489.399,0,2,outside_box,867.083,226.732,1189.75,232.066,1209.084,601.399,859.084,590.065,0,1,inside_box,766.417,116.732,904.417,118.066,897.084,220.066,763.084,216.732,0,2,outside_box,725.75,65.399,964.417,62.732,947.75,265.399,714.417,259.399,0,,,,,,,,,,,,1000,1333,,,,,,,,,,,,,,,,,,,,,
Carton_box_img_596.jpg,1,inside_box,652.347,55.207,881.013,101.873,846.347,296.54,608.347,247.873,0,2,outside_box,567.013,0.54,999.013,0,947.68,394.873,497.013,306.54,0,1,inside_box,946.12,385.252,1137.453,436.585,1094.786,630.585,903.453,574.585,0,2,outside_box,887.786,281.085,1213.953,365.085,1138.786,719.919,770.786,706.919,0,1,inside_box,397.589,361.921,546.922,381.921,525.589,496.588,374.922,475.255,0,2,outside_box,341.589,307.255,610.922,335.255,560.255,561.922,304.256,523.255,0,,,,,,,,,,,,1000,1333,,,,,,,,,,,,,,,,,,,,,
Carton_box_img_628.jpg,1,inside_box,196.62,277.04,316.12,195.54,391.62,342.04,259.12,420.54,0,2,outside_box,114.119,249.707,350.12,88.373,496.62,376.04,241.787,524.207,0,1,inside_box,481.202,191.968,567.202,127.301,621.202,205.301,530.536,267.301,0,2,outside_box,412.702,184.301,577.869,60.301,692.869,215.801,517.369,338.801,0,1,inside_box,649.369,391.286,808.369,328.286,912.369,623.286,740.369,675.286,0,2,outside_box,546.369,340.619,865.369,206.286,1047.369,720,664.369,719.286,0,1,inside_box,385.022,599.058,483.022,517.058,595.022,688.058,465.022,720,0,1000,1333,2,outside_box,323.022,591.058,508.022,442.058,663.022,680.058,611.022,720,0,353.022,720,,,,,,,,
Carton_box_img_660.jpg,1,inside_box,491.84,130.027,641.173,88.527,685.84,240.693,541.173,286.027,0,2,outside_box,379.506,75.36,648.007,5.193,729.507,294.36,485.506,373.027,0,1,inside_box,765.673,127.86,850.173,93.36,881.173,168.36,798.673,203.36,0,2,outside_box,715.84,98.693,873.34,39.193,934.84,191.193,782.84,255.693,0,1,inside_box,870.007,324.36,989.34,298.36,1016.673,520.36,900.007,550.36,0,2,outside_box,800.673,266.027,1041.34,216.693,1081.341,585.361,848.673,626.027,0,1,inside_box,573.507,471.527,682.173,407.527,755.507,556.86,652.173,622.86,0,1000,1333,2,outside_box,489.507,456.193,712.173,333.526,832.173,578.86,630.972,712.974,0,,,,,,,,,,
